Project ID,Building,Building ID,Level,GIA,Area,Actual start,Actual end,Actual duration,Worker-hours,Actual production rate,Labour productivity,Number of workers,Avg number of workers,Worker density,Cycle time,Planned start,Planned end,Planned duration,Planned production rate,Planned cycle time,Crane Asitha,Cranes,Pours,Batch area,Labour Issues,Level of Offsite Construction,Location and Logistical Issues,Supply Chain Issues,Design Complexity,Design Delays,Core,Columns,Beams,Slabs Asitha,Slabs,Frame
9,South Quay Plaza 1,L,20,843,2. Between 500 and 1000 m2,29/04/2018,14/05/2018,12,3855,73,0.22,34,6. Between 31 and 35,25,9,,,,,,2.0,2.0,2,421,,,,,,,In-situ,In-situ,In-situ,In-situ,In-situ,1. Vertical (in-situ) and Slabs (in-situ)
9,South Quay Plaza 1,L,21,843,2. Between 500 and 1000 m2,11/05/2018,23/05/2018,10,3889,84,0.22,39,7. Between 36 and 40,22,7,,,,,,2.0,2.0,2,421,,,,,,,In-situ,In-situ,In-situ,In-situ,In-situ,1. Vertical (in-situ) and Slabs (in-situ)
9,South Quay Plaza 1,L,22,843,2. Between 500 and 1000 m2,20/05/2018,01/06/2018,10,3031,89,0.28,32,6. Between 31 and 35,26,6,,,,,,2.0,2.0,2,421,,,,,,,In-situ,In-situ,In-situ,In-situ,In-situ,1. Vertical (in-situ) and Slabs (in-situ)
9,South Quay Plaza 1,L,23,843,2. Between 500 and 1000 m2,27/05/2018,09/06/2018,10,3730,84,0.23,37,7. Between 36 and 40,23,9,,,,,,2.0,2.0,2,421,,,,,,,In-situ,In-situ,In-situ,In-situ,In-situ,1. Vertical (in-situ) and Slabs (in-situ)
9,South Quay Plaza 1,L,24,843,2. Between 500 and 1000 m2,08/06/2018,21/06/2018,11,3945,77,0.21,36,7. Between 36 and 40,23,6,,,,,,2.0,2.0,2,421,,,,,,,In-situ,In-situ,In-situ,In-situ,In-situ,1. Vertical (in-situ) and Slabs (in-situ)
9,South Quay Plaza 1,L,25,839,2. Between 500 and 1000 m2,15/06/2018,28/06/2018,12,3316,73,0.25,29,5. Between 26 and 30,29,7,,,,,,2.0,2.0,2,420,,,,,,,In-situ,In-situ,In-situ,In-situ,In-situ,1. Vertical (in-situ) and Slabs (in-situ)
9,South Quay Plaza 1,L,26,839,2. Between 500 and 1000 m2,24/06/2018,07/07/2018,12,4183,73,0.20,36,7. Between 36 and 40,23,10,,,,,,2.0,2.0,2,420,,,,,,,In-situ,In-situ,In-situ,In-situ,In-situ,1. Vertical (in-situ) and Slabs (in-situ)
9,South Quay Plaza 1,L,27,839,2. Between 500 and 1000 m2,06/07/2018,16/07/2018,9,3020,99,0.28,36,7. Between 36 and 40,23,6,,,,,,2.0,2.0,2,420,,,,,,,In-situ,In-situ,In-situ,In-situ,In-situ,1. Vertical (in-situ) and Slabs (in-situ)
9,South Quay Plaza 1,L,28,839,2. Between 500 and 1000 m2,13/07/2018,24/07/2018,10,2880,88,0.29,30,5. Between 26 and 30,28,7,,,,,,2.0,2.0,2,420,,,,,,,In-situ,In-situ,In-situ,In-situ,In-situ,1. Vertical (in-situ) and Slabs (in-situ)
9,South Quay Plaza 1,L,29,839,2. Between 500 and 1000 m2,21/07/2018,03/08/2018,11,3052,76,0.27,28,5. Between 26 and 30,30,7,,,,,,2.0,2.0,2,420,,,,,,,In-situ,In-situ,In-situ,In-situ,In-situ,1. Vertical (in-situ) and Slabs (in-situ)
